,Type,Expiry,Strike,PV,Bid,Mid,Ask,Diff,BadDiff
349,call,31/01/2020,1337.5,145.2954728,143.7,146.15,148.6,0.854527172,0
350,call,31/01/2020,1340,142.8067954,141.7,143.8,145.9,0.993204571,0
351,call,31/01/2020,1342.5,140.318118,139.2,141.3,143.4,0.98188197,0
352,call,31/01/2020,1345,137.8294406,136.7,138.8,140.9,0.970559369,0
353,call,31/01/2020,1347.5,135.3407632,134,136.55,139.1,1.209236768,0
354,call,31/01/2020,1350,132.8712644,131.5,133.8,136.1,0.928735569,0
355,call,31/01/2020,1352.5,130.4017656,129,131.4,133.8,0.99823437,0
356,call,31/01/2020,1355,127.9322668,126.3,128.8,131.3,0.867733172,0
357,call,31/01/2020,1357.5,125.462768,124,126.35,128.7,0.887231973,0
358,call,31/01/2020,1360,122.9932692,121.3,123.75,126.2,0.756730775,0
359,call,31/01/2020,1362.5,120.5237704,119.3,121.55,123.8,1.026229576,0
360,call,31/01/2020,1365,118.0542716,116.6,119,121.4,0.945728377,0
361,call,31/01/2020,1367.5,115.5847728,114.1,116.5,118.9,0.915227179,0
362,call,31/01/2020,1370,113.1160793,111.4,113.7,116,0.583920698,0
363,call,31/01/2020,1372.5,110.6948974,108.9,111.35,113.8,0.655102556,0
364,call,31/01/2020,1375,108.2737156,106.9,109,111.1,0.726284415,0
365,call,31/01/2020,1377.5,105.8525337,104.4,106.7,109,0.847466274,0
366,call,31/01/2020,1380,103.4313519,101.7,104.05,106.4,0.618648133,0
367,call,31/01/2020,1382.5,101.01017,99.5,101.8,104.1,0.789829991,0
368,call,31/01/2020,1385,98.58898815,96.8,98.95,101.1,0.36101185,0
369,call,31/01/2020,1387.5,96.16780629,94.3,96.7,99.1,0.532193709,0
370,call,31/01/2020,1390,93.74662443,91.9,94.25,96.6,0.503375568,0
371,call,31/01/2020,1392.5,91.32893887,89.2,91.7,94.2,0.37106113,0
372,call,31/01/2020,1395,89.01264592,87,89.2,91.4,0.18735408,0
373,call,31/01/2020,1397.5,86.69635297,84.8,87.1,89.4,0.403647031,0
374,call,31/01/2020,1400,84.38006002,81.9,84.3,86.7,0.080060018,0
375,call,31/01/2020,1402.5,82.06376707,79.7,82.15,84.6,0.086232933,0
376,call,31/01/2020,1405,79.74747412,77.3,79.4,81.5,0.347474116,0
377,call,31/01/2020,1407.5,77.43118117,74.9,77,79.1,0.431181166,0
378,call,31/01/2020,1410,75.11488821,72.5,74.9,77.3,0.214888215,0
379,call,31/01/2020,1412.5,72.79859526,69.9,72.3,74.7,0.498595264,0
380,call,31/01/2020,1415,70.49203576,68,70,72,0.492035758,0
381,call,31/01/2020,1417.5,68.37041169,65.2,67.55,69.9,0.820411692,0
382,call,31/01/2020,1420,66.24878763,63,65.35,67.7,0.898787627,0
383,call,31/01/2020,1422.5,64.12716356,60.8,63.2,65.6,0.927163561,0
384,call,31/01/2020,1425,62.0055395,58.4,60.85,63.3,1.155539496,0
385,call,31/01/2020,1427.5,59.88391543,56.4,58.8,61.2,1.083915431,0
386,call,31/01/2020,1430,57.76229137,54.9,56.1,57.3,1.662291365,0.462291365
387,call,31/01/2020,1432.5,55.6406673,52,54,56,1.6406673,0
388,call,31/01/2020,1435,53.51904323,50.6,51.8,53,1.719043234,0.519043234
389,call,31/01/2020,1437.5,51.41685361,47.6,49.85,52.1,1.566853607,0
390,call,31/01/2020,1440,49.58674611,46.1,47.4,48.7,2.186746112,0.886746112
391,call,31/01/2020,1442.5,47.75663862,44.3,45.45,46.6,2.306638616,1.156638616
392,call,31/01/2020,1445,45.92653112,42.1,43.65,45.2,2.276531121,0.726531121
393,call,31/01/2020,1447.5,44.09642363,40.3,41.65,43,2.446423626,1.096423626
394,call,31/01/2020,1450,42.26631613,38,39.7,41.4,2.566316131,0.866316131
395,call,31/01/2020,1452.5,40.43620864,36.4,37.5,38.6,2.936208635,1.836208635
396,call,31/01/2020,1455,38.60610114,34.8,36.05,37.3,2.55610114,1.30610114
397,call,31/01/2020,1457.5,36.77599364,33,34.2,35.4,2.575993645,1.375993645
398,call,31/01/2020,1460,34.979163,31.2,32.1,33,2.879163003,1.979163003
399,call,31/01/2020,1462.5,33.54837775,29.6,30.45,31.3,3.098377746,2.248377746
400,call,31/01/2020,1465,32.11759249,27.9,28.9,29.9,3.217592489,2.217592489
401,call,31/01/2020,1467.5,30.68680723,26.4,27.35,28.3,3.336807232,2.386807232
402,call,31/01/2020,1470,29.25602198,24.9,25.95,27,3.306021975,2.256021975
403,call,31/01/2020,1472.5,27.82523672,23.6,24.3,25,3.525236718,2.825236718
404,call,31/01/2020,1475,26.39445146,22.1,22.8,23.5,3.594451461,2.894451461
405,call,31/01/2020,1477.5,24.9636662,20.9,21.5,22.1,3.463666204,2.863666204
406,call,31/01/2020,1480,23.53288095,19.5,20.1,20.7,3.432880948,2.832880948
407,call,31/01/2020,1482.5,22.14463565,18.2,18.9,19.6,3.244635649,2.544635649
408,call,31/01/2020,1485,21.13924997,17.1,17.75,18.4,3.389249974,2.739249974
409,call,31/01/2020,1487.5,20.1338643,16,16.65,17.3,3.4838643,2.8338643
410,call,31/01/2020,1490,19.12847863,15,16.35,17.7,2.778478625,1.428478625
411,call,31/01/2020,1492.5,18.12309295,14.1,15.3,16.5,2.823092951,1.623092951
412,call,31/01/2020,1495,17.11770728,13.2,14.45,15.7,2.667707276,1.417707276
413,call,31/01/2020,1497.5,16.1123216,12.4,12.8,13.2,3.312321601,2.912321601
414,call,31/01/2020,1500,15.10693593,11.4,12.3,13.2,2.806935927,1.906935927
415,call,31/01/2020,1502.5,14.10155025,10.5,11.6,12.7,2.501550252,1.401550252
416,call,31/01/2020,1505,13.13660801,9.9,11.15,12.4,1.986608008,0.736608008
417,call,31/01/2020,1507.5,12.47788031,9,10.4,11.8,2.077880309,0.677880309
418,call,31/01/2020,1510,11.81915261,8.6,10.1,11.6,1.71915261,0.21915261
419,call,31/01/2020,1512.5,11.16042491,8.1,8.65,9.2,2.510424911,1.960424911
420,call,31/01/2020,1515,10.50169721,7.4,8.25,9.1,2.251697211,1.401697211
421,call,31/01/2020,1517.5,9.842969512,7,7.9,8.8,1.942969512,1.042969512
422,call,31/01/2020,1520,9.184241813,6.6,7.3,8,1.884241813,1.184241813
423,call,31/01/2020,1522.5,8.525514114,6.1,7.8,9.5,0.725514114,0
424,call,31/01/2020,1525,7.866786415,5.8,7.3,8.8,0.566786415,0
425,call,31/01/2020,1527.5,7.243178768,5.5,6.9,8.3,0.343178768,0
426,call,31/01/2020,1530,6.847851463,5.1,5.75,6.4,1.097851463,0.447851463
427,call,31/01/2020,1532.5,6.452524158,4.8,6.2,7.6,0.252524158,0
428,call,31/01/2020,1535,6.057196854,4.5,5.95,7.4,0.107196854,0
429,call,31/01/2020,1537.5,5.661869549,4.2,5.4,6.6,0.261869549,0
430,call,31/01/2020,1540,5.266542244,4,4.4,4.8,0.866542244,0.466542244
431,call,31/01/2020,1542.5,4.871214939,3.5,5.05,6.6,0.178785061,0
432,call,31/01/2020,1545,4.475887634,3.6,5.05,6.5,0.574112366,0
433,call,31/01/2020,1547.5,4.080560329,3.4,4.05,4.7,0.030560329,0
434,call,31/01/2020,1550,3.711900769,3.2,3.65,4.1,0.061900769,0
435,call,31/01/2020,1552.5,3.494358425,3.1,3.75,4.4,0.255641575,0
436,call,31/01/2020,1555,3.276816082,2.9,4.45,6,1.173183918,0
437,call,31/01/2020,1557.5,3.059273738,2.8,3.1,3.4,0.040726262,0
438,call,31/01/2020,1560,2.841731395,2.65,3.375,4.1,0.533268605,0
439,call,31/01/2020,1562.5,2.624189051,2.5,3.15,3.8,0.525810949,0
440,call,31/01/2020,1565,2.406646708,2.45,3.075,3.7,0.668353292,-0.043353292
441,call,31/01/2020,1567.5,2.189104365,2.3,2.85,3.4,0.660895635,-0.110895635
442,call,31/01/2020,1570,1.971562021,2.2,2.75,3.3,0.778437979,-0.228437979
443,call,31/01/2020,1572.5,1.771906912,2.05,2.625,3.2,0.853093088,-0.278093088
444,call,31/01/2020,1575,1.661687977,1.9,2.45,3,0.788312023,-0.238312023
445,call,31/01/2020,1577.5,1.551469041,1.9,2.4,2.9,0.848530959,-0.348530959
446,call,31/01/2020,1580,1.441250105,1.85,2.325,2.8,0.883749895,-0.408749895
447,call,31/01/2020,1582.5,1.33103117,1.75,2.2,2.65,0.86896883,-0.41896883
448,call,31/01/2020,1585,1.220812234,1.65,2.1,2.55,0.879187766,-0.429187766
449,call,31/01/2020,1587.5,1.110593298,1.2,1.825,2.45,0.714406702,-0.089406702
